"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/core/appInitializer.ts", "TypeScript", 0, -13, -2, -3, -18
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/composables/useDebugFormatting.ts", "TypeScript", 0, 19, -29, -4, -14
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/composables/useDebugHistory_back.ts", "TypeScript", 0, -479, -70, -90, -639
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/composables/useDebugStores.ts", "TypeScript", 0, -36, -8, -6, -50
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/composables/useEnhancedHistory.ts", "TypeScript", 0, -384, -70, -73, -527
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/debugService.ts", "TypeScript", 0, -2, -2, -1, -5
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/debugStore.ts", "TypeScript", 0, -54, -18, -11, -83
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/types.ts", "TypeScript", 0, -14, 14, 5, 5
"/Users/peaker/dev/kitchen-app/backoffice/src/views/debug/DebugView.vue", "Vue", -17, 0, -1, -2, -20
"/Users/peaker/dev/kitchen-app/backoffice/src/views/debug/components/EnhancedHistoryEntry.vue", "Vue", -428, 0, -15, -61, -504
"/Users/peaker/dev/kitchen-app/backoffice/src/views/debug/components/EnhancedHistoryView.vue", "Vue", -348, 0, -12, -46, -406
"/Users/peaker/dev/kitchen-app/backoffice/src/views/debug/components/HistoryEntryDetails.vue", "Vue", -145, 0, -4, -14, -163
"/Users/peaker/dev/kitchen-app/backoffice/src/views/debug/components/JsonNavigator.vue", "Vue", 29, 0, 0, 4, 33
"Total", "-", -909, -963, -217, -302, -2391
