"filename", "language", "Vue", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/About/About.md", "Markdown", 0, -22, 0, 0, -6, -28
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/About.md", "Markdown", 0, 23, 0, 0, 7, 30
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/MeasurementUnits.md", "Markdown", 0, 724, 0, 0, 228, 952
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/Style.md", "Markdown", 0, 96, 0, 0, 31, 127
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_9_batche.md", "Markdown", 0, 925, 0, 0, 215, 1140
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Style.md", "Markdown", 0, -96, 0, 0, -31, -127
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/detail/AccountOperations.vue", "Vue", -173, 0, 0, 0, -20, -193
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/detail/AccountOperationsFilter.vue", "Vue", -121, 0, 0, 0, -21, -142
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/dialogs/AccountDialog.vue", "Vue", -173, 0, 0, 0, -19, -192
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/dialogs/CorrectionDialog.vue", "Vue", -153, 0, 0, -4, -20, -177
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/dialogs/OperationDialog.vue", "Vue", -179, 0, 0, -2, -20, -201
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/dialogs/TransferDialog.vue", "Vue", -114, 0, 0, 0, -9, -123
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/list/AccountList.vue", "Vue", -195, 0, 0, -3, -25, -223
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/list/AccountListToolbar.vue", "Vue", -46, 0, 0, 0, -8, -54
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/list/PaymentConfirmationDialog.vue", "Vue", -270, 0, 0, -4, -37, -311
"/Users/peaker/dev/kitchen-app/backoffice/src/components/accounts/list/PendingPaymentsWidget.vue", "Vue", -196, 0, 0, -5, -33, -234
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/index.ts", "TypeScript", 0, 0, 3, 0, 0, 3
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/service.ts", "TypeScript", 0, 0, 41, 3, 8, 52
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/store.ts", "TypeScript", 0, 0, 114, 14, 22, 150
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/types.ts", "TypeScript", 0, 0, 30, 4, 2, 36
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/index.ts", "TypeScript", 0, 0, 23, 9, 8, 40
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/mockDataCoordinator.ts", "TypeScript", 0, 0, -401, -34, -89, -524
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/storageDefinitions.ts", "TypeScript", 0, 0, 577, 130, 134, 841
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/supplierDefinitions.ts", "TypeScript", 0, 0, 263, 24, 26, 313
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/composables/useWriteOff.ts", "TypeScript", 0, 0, 17, 11, 6, 34
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/index.ts", "TypeScript", 0, 0, -3, -1, -1, -5
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/storageMock.ts", "TypeScript", 0, 0, -561, -32, -46, -639
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/storageService.ts", "TypeScript", 0, 0, 113, 25, 23, 161
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/storageStore.ts", "TypeScript", 0, 0, 164, -6, 43, 201
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/types.ts", "TypeScript", 0, 0, 25, 0, 6, 31
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useOrderAssistant.ts", "TypeScript", 0, 0, -584, -45, -128, -757
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/usePurchaseOrders.ts", "TypeScript", 0, 0, 194, 28, 36, 258
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useReceipts.ts", "TypeScript", 0, 0, 11, 8, 2, 21
