"filename", "language", "Vue", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/ArchitecturApp.md", "Markdown", 0, 0, 358, 0, 68, 426
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_1_road.md", "Markdown", 0, 0, -126, 0, -43, -169
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_4.md", "Markdown", 0, 0, -474, 0, -162, -636
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_4_account.md", "Markdown", 0, 0, 436, 0, 118, 554
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_5.md", "Markdown", 0, 0, -481, 0, -122, -603
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_5_3.md", "Markdown", 0, 0, -552, 0, -136, -688
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_5_31.md", "Markdown", 0, 0, -1339, 0, -299, -1638
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_6.md", "Markdown", 0, 0, -518, 0, -110, -628
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_6_1.md", "Markdown", 0, 0, -739, 0, -152, -891
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_7_1.md", "Markdown", 0, 0, -244, 0, -74, -318
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_8_Supplier.md", "Markdown", 0, 0, -186, 0, -72, -258
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_9_batche.md", "Markdown", 0, 0, -925, 0, -215, -1140
"/Users/peaker/dev/kitchen-app/backoffice/src/components/atoms/DatePicker.vue", "Vue", 157, 0, 0, 1, 17, 175
"/Users/peaker/dev/kitchen-app/backoffice/src/components/molecules/DateRangePicker.vue", "Vue", 284, 0, 0, 3, 29, 316
"/Users/peaker/dev/kitchen-app/backoffice/src/components/organisms/LazyList.vue", "Vue", 247, 0, 0, 13, 41, 301
"/Users/peaker/dev/kitchen-app/backoffice/src/composables/useLazyLoading.ts", "TypeScript", 0, 249, 0, 15, 50, 314
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/accountBasedMock.ts", "TypeScript", 0, 428, 0, 27, 24, 479
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/composables/useAccountTransactions.ts", "TypeScript", 0, 251, 0, 41, 63, 355
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/mock.ts", "TypeScript", 0, 60, 0, 1, 5, 66
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/paymentMock.ts", "TypeScript", 0, 160, 0, 25, 37, 222
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/service.ts", "TypeScript", 0, -9, 0, 10, 0, 1
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/store.ts", "TypeScript", 0, 183, 0, 51, 62, 296
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/account/types.ts", "TypeScript", 0, 63, 0, 6, 11, 80
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/counteragents/composables/useCounteragentBalance.ts", "TypeScript", 0, 76, 0, 30, 17, 123
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/counteragents/counteragentsService.ts", "TypeScript", 0, 15, 0, 1, 1, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/counteragents/integrations/automatedPayments.ts", "TypeScript", 0, 218, 0, 51, 61, 330
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/counteragents/services/balanceCorrectionService.ts", "TypeScript", 0, 219, 0, 33, 40, 292
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/counteragents/types.ts", "TypeScript", 0, 53, 0, 6, 8, 67
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/debugService.ts", "TypeScript", 0, 192, 0, 31, 43, 266
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/debug/types.ts", "TypeScript", 0, 15, 0, 6, 6, 27
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/supplierDefinitions.ts", "TypeScript", 0, 373, 0, 5, 51, 429
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useOrderPayments.ts", "TypeScript", 0, 561, 0, 124, 138, 823
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/usePurchaseOrders.ts", "TypeScript", 0, 142, 0, 34, 35, 211
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useReceipts.ts", "TypeScript", 0, 140, 0, 11, 22, 173
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/index.ts", "TypeScript", 0, 7, 0, 0, 0, 7
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/integrations/accountIntegration.ts", "TypeScript", 0, 132, 0, 17, 21, 170
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/supplierService.ts", "TypeScript", 0, 12, 0, 5, 4, 21
