Date : 2025-09-10 15:27:06
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 60 files,  1505 codes, 625 comments, -86 blanks, all 2044 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         25 |      3,621 |        535 |        718 |      4,874 |
| Vue        |         23 |      2,674 |         90 |        395 |      3,159 |
| Markdown   |         12 |     -4,790 |          0 |     -1,199 |     -5,989 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         60 |      1,505 |        625 |        -86 |      2,044 |
| About                                                                                                                              |         12 |     -4,790 |          0 |     -1,199 |     -5,989 |
| About (Files)                                                                                                                      |         11 |     -5,148 |          0 |     -1,267 |     -6,415 |
| About/Base                                                                                                                         |          1 |        358 |          0 |         68 |        426 |
| components                                                                                                                         |          3 |        688 |         17 |         87 |        792 |
| components/atoms                                                                                                                   |          1 |        157 |          1 |         17 |        175 |
| components/molecules                                                                                                               |          1 |        284 |          3 |         29 |        316 |
| components/organisms                                                                                                               |          1 |        247 |         13 |         41 |        301 |
| composables                                                                                                                        |          1 |        249 |         15 |         50 |        314 |
| stores                                                                                                                             |         23 |      3,372 |        518 |        662 |      4,552 |
| stores/account                                                                                                                     |          7 |      1,136 |        161 |        202 |      1,499 |
| stores/account (Files)                                                                                                             |          6 |        885 |        120 |        139 |      1,144 |
| stores/account/composables                                                                                                         |          1 |        251 |         41 |         63 |        355 |
| stores/counteragents                                                                                                               |          5 |        581 |        121 |        127 |        829 |
| stores/counteragents (Files)                                                                                                       |          2 |         68 |          7 |          9 |         84 |
| stores/counteragents/composables                                                                                                   |          1 |         76 |         30 |         17 |        123 |
| stores/counteragents/integrations                                                                                                  |          1 |        218 |         51 |         61 |        330 |
| stores/counteragents/services                                                                                                      |          1 |        219 |         33 |         40 |        292 |
| stores/debug                                                                                                                       |          2 |        207 |         37 |         49 |        293 |
| stores/shared                                                                                                                      |          1 |        373 |          5 |         51 |        429 |
| stores/supplier_2                                                                                                                  |          8 |      1,075 |        194 |        233 |      1,502 |
| stores/supplier_2 (Files)                                                                                                          |          4 |        100 |          8 |         17 |        125 |
| stores/supplier_2/composables                                                                                                      |          3 |        843 |        169 |        195 |      1,207 |
| stores/supplier_2/integrations                                                                                                     |          1 |        132 |         17 |         21 |        170 |
| utils                                                                                                                              |          1 |          0 |          2 |          6 |          8 |
| views                                                                                                                              |         20 |      1,986 |         73 |        308 |      2,367 |
| views/accounts                                                                                                                     |          6 |        658 |         28 |        115 |        801 |
