Date : 2025-12-26 11:04:30
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 797 files,  216654 codes, 24812 comments, 35585 blanks, all 277051 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        333 |    113,049 |      3,205 |     16,143 |    132,397 |
| TypeScript |        322 |     79,013 |     18,026 |     15,065 |    112,104 |
| MS SQL     |        107 |     17,636 |      3,385 |      2,239 |     23,260 |
| Markdown   |         22 |      5,931 |          4 |      1,968 |      7,903 |
| SCSS       |          3 |        681 |        125 |        118 |        924 |
| Python     |          4 |        178 |         67 |         47 |        292 |
| JSON       |          5 |        165 |          0 |          5 |        170 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        797 |    216,654 |     24,812 |     35,585 |    277,051 |
| . (Files)                                                                                                                                 |          2 |        295 |         16 |         57 |        368 |
| About                                                                                                                                     |         17 |      5,135 |          4 |      1,667 |      6,806 |
| About/Base                                                                                                                                |          4 |      1,227 |          0 |        368 |      1,595 |
| About/docs                                                                                                                                |         13 |      3,908 |          4 |      1,299 |      5,211 |
| About/docs (Files)                                                                                                                        |          3 |        419 |          4 |        146 |        569 |
| About/docs/core                                                                                                                           |          5 |        911 |          0 |        354 |      1,265 |
| About/docs/kpi                                                                                                                            |          1 |         67 |          0 |         37 |        104 |
| About/docs/recipe                                                                                                                         |          1 |        877 |          0 |        281 |      1,158 |
| About/docs/sale                                                                                                                           |          2 |      1,401 |          0 |        392 |      1,793 |
| About/docs/sale/write-off                                                                                                                 |          2 |      1,401 |          0 |        392 |      1,793 |
| About/docs/supplier                                                                                                                       |          1 |        233 |          0 |         89 |        322 |
| assets                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| components                                                                                                                                |         24 |      2,906 |        197 |        476 |      3,579 |
| components (Files)                                                                                                                        |          2 |         26 |          0 |          7 |         33 |
| components/atoms                                                                                                                          |         10 |      1,135 |         86 |        213 |      1,434 |
| components/atoms (Files)                                                                                                                  |          1 |        157 |          1 |         17 |        175 |
| components/atoms/buttons                                                                                                                  |          4 |        348 |         62 |         62 |        472 |
| components/atoms/dropdowns                                                                                                                |          1 |         41 |          7 |          7 |         55 |
| components/atoms/feedback                                                                                                                 |          1 |        200 |          1 |         42 |        243 |
| components/atoms/indicators                                                                                                               |          2 |        192 |         14 |         39 |        245 |
| components/atoms/inputs                                                                                                                   |          1 |        197 |          1 |         46 |        244 |
| components/base                                                                                                                           |          1 |        124 |          0 |         14 |        138 |
| components/molecules                                                                                                                      |          3 |        490 |         20 |         68 |        578 |
| components/molecules (Files)                                                                                                              |          1 |        284 |          3 |         29 |        316 |
| components/molecules/navigation                                                                                                           |          2 |        206 |         17 |         39 |        262 |
| components/navigation                                                                                                                     |          5 |        741 |         78 |        113 |        932 |
| components/organisms                                                                                                                      |          1 |        247 |         13 |         41 |        301 |
| components/payment-settings                                                                                                               |          2 |        143 |          0 |         20 |        163 |
| composables                                                                                                                               |         10 |      1,320 |        332 |        289 |      1,941 |
| config                                                                                                                                    |          3 |        379 |        118 |         78 |        575 |
| core                                                                                                                                      |         72 |     15,178 |      2,839 |      2,858 |     20,875 |
| core (Files)                                                                                                                              |          5 |        989 |        241 |        202 |      1,432 |
| core/background                                                                                                                           |          3 |        586 |        116 |        120 |        822 |
| core/connection                                                                                                                           |          1 |        175 |         45 |         40 |        260 |
| core/cost                                                                                                                                 |          3 |      1,045 |        247 |        183 |      1,475 |
| core/decomposition                                                                                                                        |         12 |      1,900 |        640 |        366 |      2,906 |
| core/decomposition (Files)                                                                                                                |          3 |        712 |        227 |        140 |      1,079 |
| core/decomposition/adapters                                                                                                               |          4 |        424 |        147 |         86 |        657 |
| core/decomposition/services                                                                                                               |          1 |        196 |         36 |         36 |        268 |
| core/decomposition/utils                                                                                                                  |          4 |        568 |        230 |        104 |        902 |
| core/export                                                                                                                               |         23 |      6,580 |        499 |      1,007 |      8,086 |
| core/export (Files)                                                                                                                       |          4 |        788 |        105 |        105 |        998 |
| core/export/components                                                                                                                    |          2 |        258 |          5 |         43 |        306 |
| core/export/composables                                                                                                                   |          1 |        304 |         72 |         43 |        419 |
| core/export/styles                                                                                                                        |          1 |        114 |         12 |         26 |        152 |
| core/export/templates                                                                                                                     |         11 |      3,849 |         68 |        567 |      4,484 |
| core/export/utils                                                                                                                         |          4 |      1,267 |        237 |        223 |      1,727 |
| core/initialization                                                                                                                       |          5 |      1,409 |        349 |        366 |      2,124 |
| core/pwa                                                                                                                                  |          6 |        731 |        306 |        174 |      1,211 |
| core/pwa (Files)                                                                                                                          |          2 |         72 |         59 |         15 |        146 |
| core/pwa/composables                                                                                                                      |          3 |        379 |        166 |        107 |        652 |
| core/pwa/services                                                                                                                         |          1 |        280 |         81 |         52 |        413 |
| core/request                                                                                                                              |          1 |         80 |         38 |         17 |        135 |
| core/sync                                                                                                                                 |         13 |      1,683 |        358 |        383 |      2,424 |
| core/sync (Files)                                                                                                                         |          2 |        490 |        114 |        123 |        727 |
| core/sync/adapters                                                                                                                        |          6 |        935 |        180 |        200 |      1,315 |
| core/sync/helpers                                                                                                                         |          1 |         33 |         25 |          8 |         66 |
| core/sync/migrations                                                                                                                      |          1 |         61 |         18 |         18 |         97 |
| core/sync/storage                                                                                                                         |          3 |        164 |         21 |         34 |        219 |
| data-migration                                                                                                                            |         23 |     12,403 |      1,026 |      1,029 |     14,458 |
| data-migration (Files)                                                                                                                    |          5 |        345 |         67 |         96 |        508 |
| data-migration/mappings                                                                                                                   |          8 |        435 |         83 |         64 |        582 |
| data-migration/scripts                                                                                                                    |          3 |        776 |        165 |        156 |      1,097 |
| data-migration/sql                                                                                                                        |          7 |     10,847 |        711 |        713 |     12,271 |
| help                                                                                                                                      |         21 |      7,299 |        178 |        618 |      8,095 |
| help (Files)                                                                                                                              |          3 |        485 |         20 |         48 |        553 |
| help/backoffice                                                                                                                           |          5 |      3,368 |         84 |        248 |      3,700 |
| help/backoffice (Files)                                                                                                                   |          1 |        185 |          5 |         19 |        209 |
| help/backoffice/guides                                                                                                                    |          4 |      3,183 |         79 |        229 |      3,491 |
| help/kitchen                                                                                                                              |          5 |      1,884 |         36 |        178 |      2,098 |
| help/kitchen (Files)                                                                                                                      |          1 |        167 |          5 |         18 |        190 |
| help/kitchen/guides                                                                                                                       |          4 |      1,717 |         31 |        160 |      1,908 |
| help/pos                                                                                                                                  |          8 |      1,562 |         38 |        144 |      1,744 |
| help/pos (Files)                                                                                                                          |          1 |        142 |          5 |         18 |        165 |
| help/pos/guides                                                                                                                           |          7 |      1,420 |         33 |        126 |      1,579 |
| layouts                                                                                                                                   |          9 |        495 |         37 |         88 |        620 |
| layouts (Files)                                                                                                                           |          5 |        265 |         11 |         48 |        324 |
| layouts/pos                                                                                                                               |          4 |        230 |         26 |         40 |        296 |
| plugins                                                                                                                                   |          1 |        109 |          2 |          3 |        114 |
| repositories                                                                                                                              |          4 |        577 |        226 |        151 |        954 |
| repositories/base                                                                                                                         |          4 |        577 |        226 |        151 |        954 |
| router                                                                                                                                    |          3 |        665 |         67 |         48 |        780 |
| router (Files)                                                                                                                            |          2 |        547 |         53 |         36 |        636 |
| router/guards                                                                                                                             |          1 |        118 |         14 |         12 |        144 |
| scripts                                                                                                                                   |         14 |      1,117 |        132 |        180 |      1,429 |
| scripts (Files)                                                                                                                           |          6 |        410 |         45 |         98 |        553 |
| scripts/seed                                                                                                                              |          8 |        707 |         87 |         82 |        876 |
| services                                                                                                                                  |          2 |        142 |          7 |         35 |        184 |
| stores                                                                                                                                    |        192 |     56,559 |     12,931 |     11,264 |     80,754 |
| stores/account                                                                                                                            |         11 |      3,629 |        667 |        752 |      5,048 |
| stores/account (Files)                                                                                                                    |         10 |      3,378 |        626 |        689 |      4,693 |
| stores/account/composables                                                                                                                |          1 |        251 |         41 |         63 |        355 |
| stores/analytics                                                                                                                          |          7 |      1,469 |        322 |        275 |      2,066 |
| stores/analytics (Files)                                                                                                                  |          6 |      1,409 |        284 |        265 |      1,958 |
| stores/analytics/services                                                                                                                 |          1 |         60 |         38 |         10 |        108 |
| stores/auth                                                                                                                               |          8 |        907 |        235 |        221 |      1,363 |
| stores/auth (Files)                                                                                                                       |          3 |        626 |        133 |        148 |        907 |
| stores/auth/composables                                                                                                                   |          3 |        100 |         44 |         32 |        176 |
| stores/auth/services                                                                                                                      |          2 |        181 |         58 |         41 |        280 |
| stores/catalog                                                                                                                            |          2 |        323 |         59 |         62 |        444 |
| stores/counteragents                                                                                                                      |          8 |      2,050 |        360 |        447 |      2,857 |
| stores/counteragents (Files)                                                                                                              |          5 |      1,458 |        225 |        324 |      2,007 |
| stores/counteragents/composables                                                                                                          |          1 |        122 |         52 |         26 |        200 |
| stores/counteragents/integrations                                                                                                         |          1 |        251 |         50 |         57 |        358 |
| stores/counteragents/services                                                                                                             |          1 |        219 |         33 |         40 |        292 |
| stores/debug                                                                                                                              |          6 |      2,458 |        423 |        414 |      3,295 |
| stores/debug (Files)                                                                                                                      |          4 |      2,012 |        255 |        329 |      2,596 |
| stores/debug/composables                                                                                                                  |          2 |        446 |        168 |         85 |        699 |
| stores/discounts                                                                                                                          |          9 |      1,384 |        611 |        256 |      2,251 |
| stores/discounts (Files)                                                                                                                  |          4 |        523 |        220 |         90 |        833 |
| stores/discounts/composables                                                                                                              |          2 |        195 |        106 |         43 |        344 |
| stores/discounts/services                                                                                                                 |          3 |        666 |        285 |        123 |      1,074 |
| stores/kitchen                                                                                                                            |          7 |      1,071 |        320 |        171 |      1,562 |
| stores/kitchen (Files)                                                                                                                    |          3 |        679 |        163 |        102 |        944 |
| stores/kitchen/composables                                                                                                                |          4 |        392 |        157 |         69 |        618 |
| stores/kitchenKpi                                                                                                                         |         18 |      3,670 |      1,013 |        814 |      5,497 |
| stores/kitchenKpi (Files)                                                                                                                 |          5 |      1,603 |        325 |        341 |      2,269 |
| stores/kitchenKpi/composables                                                                                                             |          8 |      1,084 |        494 |        286 |      1,864 |
| stores/kitchenKpi/services                                                                                                                |          5 |        983 |        194 |        187 |      1,364 |
